team,avg_xg,avg_xga,possession,def_height,games
Argentina,2.998348988,1.612467968,57.71981605624584,56.55302887597498,7
Australia,0.39454287642499997,1.610350017,38.32607953165691,56.254090426863726,4
Belgium,1.2314976759333334,1.4107809273333334,56.82085349099691,52.57192798209968,3
Brazil,2.72731859624,0.9894066304799999,55.96752247800441,62.2613813933913,5
Cameroon,1.0222478167333333,1.8476102276666666,42.54974963022354,54.301605975723625,3
Canada,1.309541843,1.2355519206666667,52.41574056918398,62.876225554218344,3
Costa Rica,0.41137081699999994,2.6171877883333337,31.540865100816543,44.46773273179406,3
Croatia,1.8813860569857144,2.1486288517571426,54.34287086030398,56.80117441933733,7
Denmark,1.064085744,1.154409308,59.709021374394844,62.003958681594135,3
Ecuador,1.2689094634666667,0.7053725618333333,52.707343528436326,58.92944136323447,3
England,1.7471712398,0.79802471314,63.11653540909407,62.408671196626905,5
France,2.136551169,1.7969902692857143,50.90705272630728,52.36968825168744,7
Germany,2.7436926439,0.9745014548333333,58.9410199418598,70.02788194444445,3
Ghana,1.1177510929,1.7004082195333334,41.88405438405439,49.79442923517405,3
Iran,1.2768021627666666,1.2574825123333333,37.29079556217488,51.76986486983842,3
Japan,1.8458926285000001,1.95337437975,36.030673976169204,57.303207981618776,4
Mexico,1.019216637,0.8464138363333333,53.9458184810665,56.50254187303275,3
Morocco,1.2397671345714285,1.2899171850285713,38.79635996534163,53.46204587027129,7
Netherlands,1.782257408,1.9990116522999997,52.85405899095883,55.93998343626983,5
Poland,1.1658052705,1.67603640185,37.20401959945592,51.846621496419516,4
Portugal,1.46254208566,1.12790738094,60.90034107076285,65.19689608678934,5
Qatar,0.4693305661666667,1.2569763978,43.17857007080954,49.01953874662812,3
Saudi Arabia,1.0671830893333334,2.1826430863,44.589829300372315,53.70894470062948,3
Senegal,1.068682117875,1.02641405525,45.24471761553771,56.163726656334376,4
Serbia,1.030132654,2.4325714464666666,51.14118111012522,57.54240110672803,3
South Korea,0.90114877235,1.45824413075,48.44426106262028,58.81429098764011,4
Spain,1.77615681435,1.502281847925,75.29893313945018,64.48726259043836,4
Switzerland,1.52262908875,1.252266709375,48.74758606885293,56.885687645687646,4
Tunisia,0.8034841496666667,0.8008619669,44.038173266187876,52.68216172675894,3
United States,0.9846344854,1.06467810375,52.60615502836579,58.28267406333897,4
Uruguay,1.0901779522000001,1.0331402232,48.36570077182498,53.02207142857143,3
Wales,0.7396602336666667,1.6573139707333333,46.159719720829834,58.50864409502111,3
